,Heart Rate,Time
1123,61,02:35:44
1124,61,02:35:47
1125,62,02:36:02
1126,69,02:36:12
1127,67,02:36:17
1128,62,02:36:22
1129,63,02:36:32
1130,62,02:36:37
1131,63,02:36:42
1132,65,02:36:52
1133,66,02:36:57
1134,60,02:37:07
1135,61,02:37:12
1136,64,02:37:22
1137,65,02:37:27
1138,65,02:37:32
1139,65,02:37:37
1140,67,02:37:47
1141,68,02:37:52
1142,66,02:37:57
1143,64,02:38:02
1144,65,02:38:07
1145,66,02:38:17
1146,68,02:38:22
1147,68,02:38:27
1148,69,02:38:32
1149,64,02:38:47
1150,57,02:38:52
1151,55,02:38:59
1152,59,02:39:09
1153,62,02:39:14
1154,60,02:39:19
1155,57,02:39:24
1156,58,02:39:34
1157,61,02:39:39
1158,65,02:39:44
1159,65,02:39:59
1160,64,02:40:04
1161,63,02:40:14
1162,61,02:40:19
1163,60,02:40:24
1164,59,02:40:29
1165,58,02:40:34
1166,58,02:40:39
1167,58,02:40:54
1168,59,02:41:04
1169,59,02:41:09
1170,62,02:41:14
1171,64,02:41:19
1172,64,02:41:24
1173,65,02:41:34
1174,65,02:41:39
1175,69,02:41:44
1176,69,02:41:49
1177,68,02:41:54
1178,70,02:42:00
1179,67,02:42:05
1180,68,02:42:15
1181,71,02:42:20
1182,73,02:42:25
1183,72,02:42:30
1184,71,02:42:35
1185,69,02:42:40
1186,68,02:42:45
1187,65,02:42:50
1188,64,02:42:55
1189,64,02:43:10
1190,68,02:43:15
1191,67,02:43:25
1192,63,02:43:30
1193,63,02:43:40
1194,63,02:43:45
1195,63,02:43:50
1196,64,02:44:05
1197,66,02:44:10
1198,64,02:44:15
1199,63,02:44:20
1200,60,02:44:35
1201,60,02:44:40
1202,63,02:44:45
1203,63,02:44:50
1204,60,02:45:05
1205,60,02:45:07
1206,59,02:45:12
1207,60,02:45:17
1208,61,02:45:22
1209,56,02:45:27
1210,57,02:45:32
1211,57,02:45:42
1212,58,02:45:47
1213,58,02:45:52
1214,59,02:45:57
1215,57,02:46:02
1216,58,02:46:07
1217,59,02:46:12
1218,59,02:46:17
1219,59,02:46:32
1220,60,02:46:37
1221,61,02:46:42
1222,60,02:46:47
1223,63,02:46:52
1224,64,02:46:57
1225,65,02:47:02
1226,62,02:47:07
1227,63,02:47:12
1228,64,02:47:17
1229,65,02:47:22
1230,66,02:47:27
1231,64,02:47:32
1232,65,02:47:38
1233,64,02:47:43
1234,64,02:47:48
1235,67,02:47:53
1236,66,02:48:03
1237,66,02:48:08
1238,67,02:48:18
1239,68,02:48:28
1240,69,02:48:33
1241,69,02:48:48
1242,74,02:48:58
1243,72,02:49:03
1244,64,02:49:08
1245,63,02:49:13
1246,61,02:49:18
1247,59,02:49:23
1248,61,02:49:28
1249,59,02:49:33
1250,61,02:49:38
1251,59,02:49:43
1252,60,02:49:48
1253,58,02:49:53
1254,59,02:49:58
1255,60,02:50:08
1256,62,02:50:13
1257,63,02:50:18
1258,62,02:50:23
1259,59,02:50:30
1260,60,02:50:35
1261,59,02:50:40
1262,60,02:50:50
1263,61,02:50:55
1264,57,02:51:00
1265,60,02:51:05
1266,61,02:51:10
1267,59,02:51:15
1268,60,02:51:20
1269,61,02:51:25
1270,59,02:51:35
1271,60,02:51:40
1272,58,02:51:55
1273,57,02:52:05
1274,58,02:52:10
1275,59,02:52:15
1276,62,02:52:20
1277,61,02:52:25
1278,60,02:52:30
1279,59,02:52:35
1280,60,02:52:45
1281,59,02:52:50
1282,57,02:52:55
1283,56,02:53:00
1284,57,02:53:05
1285,58,02:53:10
1286,59,02:53:16
1287,61,02:53:31
1288,60,02:53:41
1289,58,02:53:46
1290,59,02:53:51
1291,57,02:53:56
1292,56,02:54:01
1293,57,02:54:06
1294,58,02:54:11
1295,56,02:54:21
1296,57,02:54:36
1297,58,02:54:41
1298,57,02:54:46
1299,56,02:54:56
1300,57,02:55:01
1301,56,02:55:06
1302,57,02:55:21
1303,57,02:55:36
1304,58,02:55:46
1305,56,02:55:51
1306,55,02:55:56
1307,54,02:56:01
1308,55,02:56:06
1309,56,02:56:11
1310,55,02:56:16
1311,56,02:56:26
1312,58,02:56:31
1313,58,02:56:38
1314,59,02:56:43
1315,60,02:56:53
1316,59,02:56:58
1317,60,02:57:03
1318,61,02:57:13
1319,62,02:57:18
1320,64,02:57:23
1321,62,02:57:28
1322,63,02:57:33
1323,62,02:57:48
1324,61,02:57:53
1325,63,02:57:58
1326,66,02:58:03
1327,64,02:58:13
1328,63,02:58:18
1329,61,02:58:23
1330,61,02:58:38
1331,59,02:58:43
1332,60,02:58:48
1333,61,02:58:58
1334,63,02:59:03
1335,64,02:59:13
1336,65,02:59:18
1337,64,02:59:23
1338,62,02:59:28
1339,63,02:59:33
1340,64,02:59:40
1341,63,02:59:45
1342,62,02:59:55
1343,63,03:00:05
1344,61,03:00:20
1345,62,03:00:25
1346,62,03:00:40
1347,59,03:00:45
1348,60,03:00:50
1349,59,03:00:55
1350,61,03:01:00
1351,65,03:01:05
1352,69,03:01:10
1353,73,03:01:15
1354,73,03:01:20
1355,73,03:01:25
1356,74,03:01:30
1357,76,03:01:35
1358,79,03:01:40
1359,73,03:01:45
