,Heart Rate,Time
789,53,01:44:42
790,55,01:44:47
791,54,01:44:52
792,53,01:44:57
793,52,01:45:07
794,51,01:45:12
795,54,01:45:22
796,54,01:45:27
797,54,01:45:42
798,54,01:45:47
799,54,01:45:52
800,55,01:45:57
801,54,01:46:02
802,54,01:46:07
803,54,01:46:12
804,56,01:46:17
805,55,01:46:22
806,54,01:46:27
807,53,01:46:32
808,54,01:46:37
809,54,01:46:43
810,55,01:46:48
811,56,01:46:53
812,57,01:46:58
813,58,01:47:08
814,58,01:47:18
815,56,01:47:23
816,55,01:47:28
817,56,01:47:33
818,55,01:47:38
819,57,01:47:43
820,57,01:47:48
821,56,01:47:53
822,55,01:48:08
823,55,01:48:18
824,56,01:48:23
825,57,01:48:28
826,55,01:48:33
827,55,01:48:43
828,55,01:48:58
829,54,01:49:03
830,53,01:49:13
831,52,01:49:18
832,51,01:49:23
833,50,01:49:28
834,53,01:49:38
835,52,01:49:43
836,52,01:49:50
837,53,01:50:05
838,54,01:50:10
839,55,01:50:15
840,54,01:50:20
841,57,01:50:30
842,57,01:50:35
843,55,01:50:40
844,55,01:50:50
845,56,01:50:55
846,55,01:51:00
847,54,01:51:05
848,53,01:51:10
849,54,01:51:15
850,53,01:51:20
851,54,01:51:25
852,55,01:51:30
853,55,01:51:35
854,57,01:51:45
855,61,01:51:50
856,60,01:51:55
857,60,01:52:00
858,57,01:52:05
859,55,01:52:10
860,57,01:52:15
861,59,01:52:20
862,59,01:52:25
863,59,01:52:31
864,55,01:52:36
865,56,01:52:46
866,61,01:52:51
867,60,01:53:01
868,58,01:53:06
869,59,01:53:11
870,61,01:53:16
871,59,01:53:21
872,57,01:53:26
873,56,01:53:31
874,55,01:53:36
875,54,01:53:41
876,57,01:53:46
877,59,01:53:51
878,57,01:53:56
879,56,01:54:01
880,57,01:54:11
881,60,01:54:16
882,60,01:54:21
883,57,01:54:26
884,56,01:54:31
885,54,01:54:36
886,53,01:54:46
887,55,01:55:01
888,56,01:55:11
889,59,01:55:16
890,59,01:55:23
891,56,01:55:28
892,55,01:55:33
893,54,01:55:38
894,54,01:55:43
895,55,01:55:48
896,54,01:55:58
897,53,01:56:13
898,55,01:56:23
899,54,01:56:33
900,55,01:56:38
901,57,01:56:43
902,58,01:56:48
903,58,01:56:53
904,57,01:57:08
905,58,01:57:18
906,57,01:57:23
907,56,01:57:28
908,58,01:57:38
909,58,01:57:43
910,61,01:57:48
911,63,01:57:53
912,65,01:57:58
913,64,01:58:03
914,64,01:58:08
915,61,01:58:13
916,59,01:58:18
917,58,01:58:24
918,56,01:58:29
919,56,01:58:34
920,55,01:58:39
921,56,01:58:44
922,57,01:58:49
923,58,01:58:54
924,58,01:58:59
925,59,01:59:04
926,59,01:59:19
927,58,01:59:24
928,55,01:59:29
929,54,01:59:34
930,54,01:59:44
931,53,01:59:49
932,53,01:59:54
933,53,02:00:09
934,54,02:00:24
935,53,02:00:29
936,56,02:00:39
937,55,02:00:49
938,54,02:00:54
939,54,02:01:09
940,56,02:01:14
941,55,02:01:19
942,54,02:01:24
943,53,02:01:34
944,53,02:01:41
945,53,02:01:56
946,53,02:02:11
947,53,02:02:26
948,55,02:02:36
949,54,02:02:41
950,55,02:02:56
951,54,02:03:06
952,53,02:03:21
953,54,02:03:31
954,56,02:03:36
955,55,02:03:46
956,54,02:03:51
957,53,02:03:56
958,53,02:04:01
